"Vendor Name","Reference Number","Contract Date","Description of Work","Start Date","End Date","Delivery Date","Contract Value","Comments","Fiscal Year","Quarter"
"Qunara Inc.","CP00022","2004-05-06","0472  Information technology consultants","2004-05-06","2004-06-30","","34,471.25","","2004-2005","1st Quarter"
"Qunara Inc.","CP00020","2004-05-06","0472  Information technology consultants","2004-05-10","2004-10-31","","62,675.00","","2004-2005","1st Quarter"
"Action Personnel","05MLO-016","2004-05-10","0813  Temporary Help Services","2004-05-10","2004-08-27","","11,658.00","","2004-2005","1st Quarter"
"Oak Lane Enterprises","5ACOA0402","2004-05-10","0499  Other Professional Services not Elsewhere Specified","2004-05-10","2004-07-16","","12,305.00","","2004-2005","1st Quarter"
"Action Personnel","05MLO-015","2004-05-11","0813  Temporary Help Services","2004-05-11","2004-08-27","","12,972.80","","2004-2005","1st Quarter"
"Linx Strategies","04-05","2004-05-11","0499  Other Professional Services not Elsewhere Specified","2004-05-12","2004-07-31","","13,742.50","","2004-2005","1st Quarter"
"Microage","P0500327","2004-05-11","1229  Computer equipment parts","","","2004-05-14","31,530.70","","2004-2005","1st Quarter"
"Hudson Design Group","CP00028","2004-05-12","0351  Communications Professional Services not Elsewhere Specified","2004-05-12","2004-06-30","","28,094.50","","2004-2005","1st Quarter"
"Shift Central Inc.","CP00018","2004-05-12","0351  Communications Professional Services not Elsewhere Specified","2004-05-12","2004-07-31","","39,991.25","","2004-2005","1st Quarter"
"Microage","P0500382","2004-05-14","1229  Computer equipment parts","","","2004-05-17","24,075.25","","2004-2005","1st Quarter"
"Spherion","125BPR006","2004-05-17","0813  Temporary Help Services","2004-05-17","2004-08-31","","11,424.68","","2004-2005","1st Quarter"
"Polar Bear Corp Education Solutions","CP00025","2004-05-18","0446  Training Consultants","2004-05-25","2004-05-28","","11,500.00","","2004-2005","1st Quarter"
"Adecco Employment Services","P0500436","2004-05-19","0813  Temporary Help Services","2004-05-20","2004-10-08","","19,305.51","","2004-2005","1st Quarter"
"Microage","P0500422","2004-05-19","1229  Computer equipment parts","","","2004-05-20","20,043.35","","2004-2005","1st Quarter"
"Microage","P0500451","2004-05-20","1225  Telecommunication equipment parts","","","2004-05-21","29,304.30","","2004-2005","1st Quarter"
"Microage","P0500450","2004-05-20","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2004-05-21","76,575.05","","2004-2005","1st Quarter"
"IMP Group Limited","CP00041","2004-05-24","0472  Information technology consultants","2004-05-24","2004-07-31","","57,500.00","","2004-2005","1st Quarter"
"Venture Consulting Inc.","3X004-05-0246","2004-05-28","0491  Management Consulting","2004-06-01","2004-07-19","","22,977.00","","2004-2005","1st Quarter"
"Bill Campbell","1CAS05-01","2004-06-01","0491  Management Consulting","2004-06-01","2004-08-06","","20,000.00","","2004-2005","1st Quarter"
"Microsoft Services","CP00040","2004-06-01","0472  Information technology consultants","2004-06-01","2004-06-30","","18,400.00","","2004-2005","1st Quarter"
"P4 Bottomline Inc.","1CAS05-02","2004-06-03","0491  Management Consulting","2004-06-03","2004-07-23","","25,000.00","","2004-2005","1st Quarter"
"CGI Information Systems and Mgmt Consultants","CP00085","2004-06-04","0472  Information technology consultants","2004-06-25","2004-08-31","","24,150.00","","2004-2005","1st Quarter"
"Dymaxion","P0500563","2004-06-04","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2004-06-09","24,142.75","","2004-2005","1st Quarter"
"Qunara Inc.","CP00038","2004-06-04","0491  Management Consulting","2004-06-04","2004-09-30","","62,330.00","","2004-2005","1st Quarter"
"Performance Management Network","125EVAL014","2004-06-05","0401  Accounting and Audit Services","2004-06-05","2004-11-30","","79,661.50","","2004-2005","1st Quarter"
"AMEC Americas Limited","P0500613","2004-06-07","0491  Management Consulting","2004-06-07","2004-07-31","","10,867.50","","2004-2005","1st Quarter"
"Red Oak Catering Inc.","3X004-050243/001/XAQ","2004-06-09","0822  Hospitality","","","2004-06-16","17,825.00","","2004-2005","1st Quarter"
"EagleSpirit","P0500565","2004-06-10","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2004-06-14","24,142.75","","2004-2005","1st Quarter"
"Novus Consulting Group","2004-14","2004-06-11","0499  Other Professional Services not Elsewhere Specified","2004-06-14","2004-07-31","","11,226.88","","2004-2005","1st Quarter"
"Priority Personnel Inc.","P0500716","2004-06-14","0813  Temporary Help Services","2004-06-14","2004-10-29","","13,248.00","","2004-2005","1st Quarter"
"Cabot Consulting","3X004-05-0254","2004-06-16","0401  Accounting and Audit Services","2004-06-28","2004-08-31","","13,196.25","","2004-2005","1st Quarter"
"Priority Personnel Inc.","P0500709","2004-06-16","0813  Temporary Help Services","2005-07-05","2005-10-29","","11,316.00","","2004-2005","1st Quarter"
"Skyridge Systems Inc","CP00072","2004-06-17","0472  Information technology consultants","2004-06-17","2004-12-31","","69,903.90","","2004-2005","1st Quarter"
"Microage","P0500745","2004-06-23","1229  Computer equipment parts","","","2004-06-25","11,053.80","","2004-2005","1st Quarter"
"Clarke Chevrolet","P0500757","2004-06-24","1261  Road Motor Vehicles","","","2004-10-29","25,496.65","","2004-2005","1st Quarter"
"CGI Information Systems and Mgmt Consultants","CP00084","2004-06-25","0472  Information technology consultants","2004-06-25","2004-07-20","","16,950.00","","2004-2005","1st Quarter"
"CGI Information Systems and Mgmt Consultants","CP00083","2004-06-25","0472  Information technology consultants","2004-06-25","2004-07-30","","17,250.00","","2004-2005","1st Quarter"
"CGI Information Systems and Mgmt Consultants","CP00086","2004-06-25","0472  Information technology consultants","2004-07-30","2004-10-31","","17,250.00","","2004-2005","1st Quarter"
"Anthony Macauley Associates","CP00089","2004-06-28","0472  Information technology consultants","2004-06-28","2004-09-30","","51,620.63","","2004-2005","1st Quarter"
"IMP Group Limited","CP00093","2004-06-28","0472  Information technology consultants","2004-06-28","2004-09-30","","19,550.00","","2004-2005","1st Quarter"
"FSG Consulting Inc.","3X004-05-0258","2004-06-29","0491  Management Consulting","2004-06-29","2004-10-31","","12,650.00","","2004-2005","1st Quarter"
"Pitney Bowes of Canada Ltd.","P0500960","2004-06-29","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2004-08-18","2009-08-17","","14,036.00","","2004-2005","1st Quarter"
"Pitney Bowes of Canada Ltd.","P0500958","2004-06-29","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2004-08-18","2009-08-17","","14,099.00","","2004-2005","1st Quarter"
"Action Personnel","05MO-014","2004-07-01","0813  Temporary Help Services","2004-07-01","2004-11-17","","22,425.00","","2004-2005","2nd Quarter"
"FSG Consulting Inc.","3X004-05-0264","2004-07-05","0401  Accounting and Audit Services","2004-07-07","2004-08-31","","15,024.75","","2004-2005","2nd Quarter"
"Morrissey and Company Inc.","3X004-05-0265","2004-07-05","0401  Accounting and Audit Services","2004-07-13","2004-08-31","","10,764.00","","2004-2005","2nd Quarter"
"IMP Solutions","P0500806","2004-07-06","1228  Computer software","","","2004-07-08","12,794.67","","2004-2005","2nd Quarter"
"Manpower Temporary Services","5TEMP-HELP","2004-07-09","0813  Temporary Help Services","2004-08-03","2004-12-17","","13,521.00","","2004-2005","2nd Quarter"
"The Public Policy Forum","2004-15","2004-07-09","0499  Other Professional Services not Elsewhere Specified","2004-07-12","2005-03-31","","10,000.00","","2004-2005","2nd Quarter"
"Adecco Employment Services","P0500748","2004-07-12","0813  Temporary Help Services","2004-07-12","2004-11-05","","10,226.84","","2004-2005","2nd Quarter"
"Canon Canada Inc.","3X004-05-0266","2004-07-13","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","","","2004-08-01","17,940.00","","2004-2005","2nd Quarter"
"FSG Consulting Inc.","3X004-05-0267","2004-07-15","0401  Accounting and Audit Services","2004-07-21","2004-08-31","","11,557.50","","2004-2005","2nd Quarter"
"Skyridge Systems Inc","CP00118","2004-07-19","0472  Information technology consultants","2004-07-19","2004-10-31","","17,250.00","","2004-2005","2nd Quarter"
"Linx Strategies","04-07","2004-07-20","0499  Other Professional Services not Elsewhere Specified","2004-07-20","2004-12-31","","14,087.50","","2004-2005","2nd Quarter"
"Adecco Employment Services Ltd.","P0500921","2004-07-22","0813  Temporary Help Services","2004-07-22","2004-12-08","","13,228.16","","2004-2005","2nd Quarter"
"Y-Taxi Ltd.","04-191","2004-07-22","0201  Travel - Public Servants","2004-07-22","2005-03-31","","11,500.00","","2004-2005","2nd Quarter"
"Priority Personnel Inc.","P0500939","2004-07-23","0813  Temporary Help Services","2004-08-06","2004-11-30","","13,144.50","","2004-2005","2nd Quarter"
"Réseau d'investissement social du Quebec","105POL-06","2004-07-26","0494  Translation Services","2004-07-26","2004-09-20","","15,000.00","","2004-2005","2nd Quarter"
"Polar Bear Corp Education Solutions","CP00114","2004-07-27","0446  Training Consultants","2004-08-17","2004-08-27","","23,000.00","","2004-2005","2nd Quarter"
"Lexi-tech International","105APRI-01","2004-07-28","0494  Translation Services","2004-07-28","2004-08-23","","14,023.49","","2004-2005","2nd Quarter"
"Nex Innovations","P0500954","2004-07-28","0670  Computer equipment - hardware and software","","","2004-08-20","14,605.00","","2004-2005","2nd Quarter"
"Spherion","4-0029","2004-07-28","0813  Temporary Help Services","2004-08-16","2005-01-28","","24,089.63","","2004-2005","2nd Quarter"
"Hudson Design Group","CP00123","2004-07-29","0351  Communications Professional Services not Elsewhere Specified","2004-07-29","2004-09-07","","12,149.75","","2004-2005","2nd Quarter"
"Pitney Bowes of Canada Ltd.","P0500955","2004-07-29","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2004-08-18","2009-08-17","","14,970.00","","2004-2005","2nd Quarter"
"Gartner Inc.","CP00124","2004-08-01","0472  Information technology consultants","2004-08-01","2005-07-31","","98,900.00","","2004-2005","2nd Quarter"
"Académie de formation linguistique (AFL) Inc.","05OTT-CO01","2004-08-03","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-08-09","2004-10-08","","11,880.00","","2004-2005","2nd Quarter"
"CGI Information Systems and Mgmt Consultants","CP00128","2004-08-06","0472  Information technology consultants","2004-08-06","2004-09-30","","15,437.50","","2004-2005","2nd Quarter"
"Kelly Services (Canada) Ltd.","105CED024","2004-08-06","0813  Temporary Help Services","2004-08-16","2005-01-07","","13,696.16","","2004-2005","2nd Quarter"
"Xwave","CP00134","2004-08-16","0472  Information technology consultants","2004-09-13","2004-12-31","","68,425.00","","2004-2005","2nd Quarter"
"Hudson Design Group","CP00138","2004-08-17","0321  Printing Services","2004-08-17","2004-10-17","","26,473.00","","2004-2005","2nd Quarter"
"Hudson Design Group","CP00135","2004-08-18","0321  Printing Services","2004-08-18","2004-10-18","","11,413.75","","2004-2005","2nd Quarter"
"Kelly Services (Canada) Ltd.","104PRO-064","2004-08-18","0813  Temporary Help Services","2004-08-30","2004-12-24","","13,388.24","","2004-2005","2nd Quarter"
"Adecco Employment Services Ltd","05MLO-004","2004-08-19","0813  Temporary Help Services","2004-08-19","2005-01-06","","21,375.00","","2004-2005","2nd Quarter"
"ExcelHR","05MLO-002","2004-08-19","0813  Temporary Help Services","2004-08-19","2005-01-06","","19,500.00","","2004-2005","2nd Quarter"
"Spherion","4-0032","2004-08-19","0813  Temporary Help Services","2004-08-19","2005-02-18","","27,439.15","","2004-2005","2nd Quarter"
"Centre Linguistique du Collège de Jonquière","05MLO-022","2004-08-23","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-08-23","2004-11-19","","20,250.00","","2004-2005","2nd Quarter"
"Allstream","CP00143","2004-08-24","0472  Information technology consultants","2004-09-13","2004-12-31","","69,000.00","","2004-2005","2nd Quarter"
"Allstream","CP00142","2004-08-24","0472  Information technology consultants","2004-09-13","2004-12-31","","69,000.00","","2004-2005","2nd Quarter"
"Microage","P0501145","2004-08-26","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2004-09-20","38,898.75","","2004-2005","2nd Quarter"
"Plexus","ACOA6155","2004-08-26","0670  Computer equipment - hardware and software","2004-08-30","2004-10-15","","28,098.00","","2004-2005","2nd Quarter"
"IQPC","105TR124","2004-08-27","0331  Exposition Services","2005-03-07","2005-03-10","","37,000.00","","2004-2005","2nd Quarter"
"Ricoh Canada Inc.","P0501172","2004-08-31","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2004-09-01","2004-03-31","","21,804.00","","2004-2005","2nd Quarter"
"Cabot Consulting Inc.","3X004-05-0283","2004-09-01","0401  Accounting and Audit Services","2004-09-01","2004-12-31","","24,046.50","","2004-2005","2nd Quarter"
"Cabot Consulting Inc.","3X004-05-0282","2004-09-01","0401  Accounting and Audit Services","2004-09-01","2004-12-31","","25,932.50","","2004-2005","2nd Quarter"
"DoO Consulting","3X004-05-0281","2004-09-01","0401  Accounting and Audit Services","2004-09-01","2004-12-31","","32,062.00","","2004-2005","2nd Quarter"
"E.D. Consulting Services","3X004-05-0285","2004-09-01","0401  Accounting and Audit Services","2004-09-01","2004-12-31","","28,290.00","","2004-2005","2nd Quarter"
"FSG Consulting Inc.","3X004-05-0278","2004-09-01","0401  Accounting and Audit Services","2004-09-01","2004-12-31","","27,818.50","","2004-2005","2nd Quarter"
"Leanne Martin","3X004-05-0279","2004-09-01","0401  Accounting and Audit Services","2004-09-01","2004-12-31","","23,575.00","","2004-2005","2nd Quarter"
"Pinsent Management Consulting Inc.","3X004-05-0286","2004-09-01","0401  Accounting and Audit Services","2004-09-01","2004-12-31","","26,875.50","","2004-2005","2nd Quarter"
"Quinton Marketing Communications","3X004-05-0280","2004-09-01","0401  Accounting and Audit Services","2004-09-01","2004-12-31","","30,647.50","","2004-2005","2nd Quarter"
"Barry W. Sheppard","3X004-05-0288","2004-09-02","0491  Management Consulting","2004-09-02","2004-11-30","","28,815.14","","2004-2005","2nd Quarter"
"CGI Information Systems and Mgmt Consultants","CP00153","2004-09-02","0472  Information technology consultants","2004-09-03","2004-10-29","","12,362.50","","2004-2005","2nd Quarter"
"Performance Management Network","125EVAL021","2004-09-02","0499  Other Professional Services not Elsewhere Specified","2004-09-02","2004-12-10","","25,000.00","","2004-2005","2nd Quarter"
"Priority Personnel Inc.","P0501169","2004-09-03","0813  Temporary Help Services","2004-09-13","2004-01-28","","12,741.29","","2004-2005","2nd Quarter"
"Maritime Language Center Inc.","125IAB018","2004-09-07","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-10-04","2005-05-31","","36,162.00","","2004-2005","2nd Quarter"
"Priority Personnel Inc.","P0501223","2004-09-07","0813  Temporary Help Services","2004-09-16","2004-02-02","","14,292.40","","2004-2005","2nd Quarter"
"Quantum Management Services Ltd","05MLO-024","2004-09-07","0813  Temporary Help Services","2004-09-07","2005-01-21","","14,100.00","","2004-2005","2nd Quarter"
"Human Resource Capital Group/Spherion Workforce Architects","5SPHERION","2004-09-08","0813  Temporary Help Services","2004-09-08","2004-12-31","","10,714.00","","2004-2005","2nd Quarter"
"Maritime Language Centre Inc.","66HAL-010029/002/HAL","2004-09-09","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-10-04","2005-05-31","","47,642.00","","2004-2005","2nd Quarter"
"Microage","P0501249","2004-09-10","0670  Computer equipment - hardware and software","","","2004-09-27","19,651.20","","2004-2005","2nd Quarter"
"Allstream","CP00170","2004-09-14","0472  Information technology consultants","2004-09-14","2004-10-31","","41,492.00","","2004-2005","2nd Quarter"
"AEGIS Management Consulting Group","105APRI-02","2004-09-17","0499  Other Professional Services not Elsewhere Specified","2004-09-17","2005-01-31","","47,913.00","","2004-2005","2nd Quarter"
"Elisabeth Lépine","ACOA-P0501258","2004-09-17","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-09-20","2004-12-31","","26,520.00","","2004-2005","2nd Quarter"
"Hudson Design Group","CP00166","2004-09-18","0321  Printing Services","2004-09-18","2004-11-18","","11,787.50","","2004-2005","2nd Quarter"
"Hudson Design Group","CP00167","2004-09-18","0321  Printing Services","2004-09-18","2004-11-18","","32,056.25","","2004-2005","2nd Quarter"
"Theresa Hynes Consulting","3X004-05-0293","2004-09-20","0401  Accounting and Audit Services","2004-09-23","2004-12-31","","23,069.00","","2004-2005","2nd Quarter"
"Corporate Research Associates","04-231","2004-09-23","0499  Other Professional Services not Elsewhere Specified","2004-09-23","2004-11-19","","27,480.00","","2004-2005","2nd Quarter"
"Informetrica","105INFO-01","2004-09-23","1143  Printed Matter, Including Books, Newspapers, Pictures, Manuscripts and Forms","2004-10-01","2005-09-30","","23,540.00","","2004-2005","2nd Quarter"
"Newfoundland Energy Services Ltd.","3X004-05-0300","2004-09-29","0491  Management Consulting","2004-09-29","2004-11-30","","23,460.00","","2004-2005","2nd Quarter"
"Ultimus","ACOA6157","2004-09-29","1228  Computer software","2004-09-29","2005-09-28","","44,537.50","","2004-2005","2nd Quarter"
"Microage","P0501429","2004-09-30","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2004-10-06","37,951.92","","2004-2005","2nd Quarter"
"Deloitte &Touche LLP","ACOA/6106(M)","2004-10-01","0499  Other Professional Services not Elsewhere Specified","2004-10-01","2004-11-30","","19,725.00","","2004-2005","3rd Quarter"
"Goss Gilroy Inc","3X001-020290/003/MCT","2004-10-01","0401  Accounting and Audit Services","2004-10-04","2004-11-30","","85,669.75","","2004-2005","3rd Quarter"
"IMP Group Limited","CP00181","2004-10-01","0472  Information technology consultants","2004-10-04","2004-12-31","","32,200.00","","2004-2005","3rd Quarter"
"CGI Information Systems and Management Consultants","CP00185","2004-10-04","0472  Information technology consultants","2004-10-04","2004-12-31","","23,000.00","","2004-2005","3rd Quarter"
"ExcelHR","05MO-019","2004-10-04","0813  Temporary Help Services","2004-10-04","2005-01-31","","11,305.00","","2004-2005","3rd Quarter"
"Skyridge Systems Inc","CP00189","2004-10-04","0472  Information technology consultants","2004-10-05","2005-02-28","","59,800.00","","2004-2005","3rd Quarter"
"IMP Group Limited","CP00182","2004-10-05","0472  Information technology consultants","2004-10-05","2004-12-31","","20,700.00","","2004-2005","3rd Quarter"
"Allstream","CP00192","2004-10-07","0472  Information technology consultants","2004-10-11","2005-03-31","","73,025.00","","2004-2005","3rd Quarter"
"Integrated People Solutions","04-234","2004-10-07","0499  Other Professional Services not Elsewhere Specified","2004-10-07","2005-01-31","","36,828.75","","2004-2005","3rd Quarter"
"Linx Strategies","04-235","2004-10-07","0499  Other Professional Services not Elsewhere Specified","2004-10-07","2005-03-31","","28,462.50","","2004-2005","3rd Quarter"
"Linx Strategies","04-239","2004-10-12","0499  Other Professional Services not Elsewhere Specified","2004-10-12","2005-03-31","","14,777.50","","2004-2005","3rd Quarter"
"Académie de Formation Linguistique (AFL) Inc.","ACOA/6158(M)","2004-10-18","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-10-18","2005-01-19","","18,832.00","","2004-2005","3rd Quarter"
"Maritime Language Center Inc.","P0501507","2004-10-18","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-10-18","2004-12-23","","14,112.00","","2004-2005","3rd Quarter"
"Marketing Six Continents Inc.","450-0500-309","2004-10-19","0491  Management Consulting","2004-11-15","2004-11-18","","34,523.40","","2004-2005","3rd Quarter"
"Telecom Computer","P0501571","2004-10-19","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2005-01-19","11,820.85","","2004-2005","3rd Quarter"
"Microsoft Canada","CP00195","2004-10-21","1228  Computer software","","","2005-01-11","143,175.00","","2004-2005","3rd Quarter"
"Kelly Services (Canada) Ltd","ECO95-9-0008/001/MCT","2004-10-22","0813  Temporary Help Services","2004-11-01","2005-03-31","","14,623.23","","2004-2005","3rd Quarter"
"Telecom Computer","P0501593","2004-10-22","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2004-10-27","23,303.60","","2004-2005","3rd Quarter"
"Spherion Workforce Architects","5TEMP-HELP","2004-10-25","0813  Temporary Help Services","2004-10-25","2005-04-01","","15,657.58","","2004-2005","3rd Quarter"
"Priority Personnel Inc.","P0501629","2004-10-27","0813  Temporary Help Services","2004-10-27","2005-03-15","","12,875.40","","2004-2005","3rd Quarter"
"Trope Communications","05OTT-CO02","2004-10-27","0492  Research Contracts","2004-10-27","2005-03-31","","24,421.50","","2004-2005","3rd Quarter"
"Academie de formation linguistique","ACOA6159","2004-10-28","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-10-28","2005-01-18","","12,247.50","","2004-2005","3rd Quarter"
"Adecco Employment Services Limited","05TEMP-OT1","2004-10-29","0813  Temporary Help Services","2004-11-08","2005-03-31","","44,280.00","","2004-2005","3rd Quarter"
"Adecco Employment Services","P0501595","2004-11-01","0813  Temporary Help Services","2004-11-01","2005-03-18","","11,268.00","","2004-2005","3rd Quarter"
"KPMG, LLB","ACOA/6107(M)","2004-11-01","0499  Other Professional Services not Elsewhere Specified","2004-11-01","2004-11-21","","23,000.00","","2004-2005","3rd Quarter"
"Priority Personnel Inc.","P0501667","2004-11-01","0813  Temporary Help Services","2004-11-01","2005-03-18","","12,875.40","","2004-2005","3rd Quarter"
"IMP Group Limited","CP00344","2004-11-02","0472  Information technology consultants","2004-11-08","2004-11-30","","12,000.00","","2004-2005","3rd Quarter"
